customer_id,date,customer_gender,customer_age,customer_location,customer_type,has_cc,has_mortgage,convenience,customer_service,online_banking,interest_rates,fees_charges,community_involvement,products_services,privacy_security,reputation,satisfied
56517,19-10-2022,Female,46,Munster,Personal,TRUE,FALSE,5,4,3,5,5,1,4,5,5,TRUE
219653,09-08-2022,Female,63,,Personal,TRUE,TRUE,,3,3,1,2,1,3,,2,FALSE
250643,06-02-2021,Female,46,Ulster,Business,TRUE,FALSE,1,1,1,3,3,,5,5,3,FALSE
42804,07-04-2021,Not specified,23,Leinster,Personal,TRUE,TRUE,1,1,3,3,1,5,,3,,FALSE
84654,21-04-2021,Male,,Leinster,Personal,TRUE,FALSE,5,2,4,4,4,,2,2,,TRUE
69809,16-09-2021,Female,37,Munster,Personal,TRUE,TRUE,2,2,2,,2,5,4,1,2,FALSE
130775,08-05-2022,Male,,Ulster,Personal,TRUE,FALSE,2,1,2,3,4,4,2,,4,FALSE
67036,01-03-2022,Female,48,Leinster,Personal,FALSE,FALSE,4,4,4,3,2,4,1,4,3,FALSE
267974,25-10-2021,Not specified,,Leinster,Personal,TRUE,TRUE,3,3,4,3,2,5,5,5,2,FALSE
42244,18-02-2021,Female,49,Leinster,Business,TRUE,FALSE,2,4,5,5,4,4,4,2,,TRUE
102296,27-01-2022,Female,64,Leinster,Business,TRUE,FALSE,3,2,4,4,2,2,2,2,4,TRUE
146677,08-08-2021,Female,50,Ulster,Business,TRUE,TRUE,3,3,5,3,5,5,4,5,1,FALSE
333734,22-01-2021,Female,68,Connacht,Personal,FALSE,FALSE,4,3,5,,3,2,2,2,3,TRUE
134442,12-04-2021,Female,73,,Business-Plus,TRUE,TRUE,1,3,1,3,2,1,2,,2,FALSE
158949,09-10-2021,Female,67,,Personal,TRUE,TRUE,4,4,4,2,4,4,4,4,3,FALSE
171947,03-09-2022,Female,46,,Personal,TRUE,FALSE,3,3,3,1,1,4,3,3,1,FALSE
146181,03-10-2022,f,71,Leinster,Personal,TRUE,TRUE,2,2,3,2,3,4,,5,,FALSE
162602,13-06-2022,Female,51,Munster,Business,FALSE,TRUE,1,1,4,4,4,4,5,4,1,FALSE
172061,06-09-2021,Female,43,Munster,Personal,TRUE,TRUE,4,1,2,4,1,,1,1,1,FALSE
202438,21-10-2021,Female,47,Ulster,Business,TRUE,FALSE,5,3,4,4,4,5,5,5,3,TRUE
18242,22-12-2021,Male,48,,Personal,TRUE,TRUE,2,2,4,2,3,4,2,4,3,FALSE
359490,03-07-2022,Female,52,Munster,Business,TRUE,FALSE,2,2,2,4,5,1,5,,5,FALSE
276061,06-01-2022,,,Munster,Business,TRUE,FALSE,2,2,2,3,3,5,2,2,,FALSE
60173,17-05-2022,Male,64,Munster,Personal,TRUE,TRUE,2,2,2,4,5,,3,1,5,FALSE
11796,05-03-2021,Female,57,Munster,Business,TRUE,FALSE,4,2,3,5,4,4,4,4,,TRUE
217596,17-08-2022,Male,,Leinster,Business-Plus,TRUE,FALSE,1,5,4,1,,5,4,4,4,TRUE
247779,12-08-2022,Male,,Connacht,Personal,FALSE,TRUE,2,1,1,3,4,5,5,1,4,FALSE
345479,18-04-2022,Not specified,46,Connacht,Personal,TRUE,TRUE,3,3,3,2,1,4,4,4,1,FALSE
316073,20-11-2021,Male,69,Connacht,Business,FALSE,FALSE,3,3,5,4,5,5,1,5,2,TRUE
273999,07-04-2022,Female,29,Leinster,Business,TRUE,FALSE,4,5,4,2,2,,5,5,2,TRUE
319448,14-06-2021,Female,40,Munster,Personal,TRUE,FALSE,3,3,3,1,4,4,4,4,1,FALSE
139428,25-11-2021,Female,,Munster,Business,TRUE,FALSE,3,3,4,4,2,3,5,5,4,TRUE
6296,08-07-2021,Male,,Leinster,Business,TRUE,FALSE,2,2,4,4,4,4,4,4,3,TRUE
215236,19-03-2022,Not specified,,,Business,TRUE,FALSE,3,5,4,4,5,4,,5,3,TRUE
264591,06-09-2021,,35,Leinster,Personal,TRUE,FALSE,3,3,3,1,5,2,3,4,5,FALSE
83510,21-11-2021,Female,32,Leinster,Business,TRUE,FALSE,4,4,4,4,4,3,4,5,4,TRUE
173485,08-11-2021,Male,31,Leinster,Business,TRUE,FALSE,2,2,1,4,4,5,1,2,4,TRUE
265229,29-06-2021,Female,63,,Personal,TRUE,TRUE,4,1,4,2,3,3,3,3,4,FALSE
206149,03-10-2022,f,73,Connacht,Business,TRUE,FALSE,3,3,3,2,5,5,4,4,5,FALSE
218900,17-05-2022,Male,,Munster,Business,TRUE,FALSE,4,2,5,4,4,4,,4,,TRUE
21769,09-04-2022,Female,,Leinster,Business-Plus,TRUE,FALSE,2,4,2,3,3,2,3,1,3,TRUE
352838,11-06-2021,Female,30,Leinster,Personal,TRUE,FALSE,5,5,5,5,5,3,1,4,5,TRUE
58431,20-06-2021,Male,41,Connacht,Personal,TRUE,FALSE,3,4,1,2,3,1,4,,2,FALSE
250988,15-11-2022,Not specified,22,Leinster,Business-Plus,TRUE,FALSE,1,1,1,4,4,4,4,4,1,FALSE
289121,21-08-2022,Male,54,Leinster,Business,TRUE,FALSE,3,5,5,2,5,3,5,5,3,TRUE
15473,01-03-2022,Female,42,Leinster,Business,TRUE,FALSE,3,4,5,4,3,5,5,5,3,TRUE
71543,12-08-2021,m,27,Munster,Personal,FALSE,TRUE,1,1,1,3,4,4,4,5,4,FALSE
48641,05-05-2022,Male,60,Leinster,Business,TRUE,FALSE,3,2,2,3,3,4,3,3,3,FALSE
98025,19-03-2021,Male,39,,Business,TRUE,TRUE,1,1,1,3,1,3,5,4,,FALSE
88258,17-03-2022,,52,Connacht,Personal,TRUE,FALSE,3,4,3,3,3,3,1,3,3,FALSE
383618,06-07-2021,Male,32,Munster,Business,TRUE,TRUE,2,3,3,2,5,4,2,4,,FALSE
108626,27-03-2021,Not specified,64,Leinster,Business,TRUE,FALSE,1,1,5,3,3,3,3,3,4,TRUE
298982,26-07-2022,Female,48,Leinster,Business,TRUE,FALSE,5,3,2,4,4,,4,,1,TRUE
201743,30-03-2022,Female,,,Business-Plus,FALSE,FALSE,3,3,3,1,3,1,4,3,3,FALSE
165861,07-05-2021,Female,35,Munster,Business,FALSE,FALSE,3,3,2,4,4,,4,5,4,TRUE
95783,15-08-2021,Male,24,Munster,Business-Plus,TRUE,TRUE,4,1,4,2,1,4,5,1,3,FALSE
128269,09-05-2021,m,43,Munster,Personal,TRUE,FALSE,2,3,2,5,5,3,3,2,5,FALSE
271233,27-05-2021,Female,76,Munster,Personal,FALSE,TRUE,2,2,1,4,2,3,1,1,2,FALSE
178722,18-10-2021,Female,32,Ulster,Business,TRUE,FALSE,5,5,5,4,5,4,4,5,5,TRUE
33163,11-08-2022,Male,44,Munster,Business,TRUE,FALSE,,4,5,4,5,5,5,5,4,TRUE
246205,26-04-2021,Female,51,Leinster,Business,TRUE,FALSE,3,5,4,2,4,4,4,4,2,TRUE
346629,08-07-2021,Female,46,Munster,Business,TRUE,FALSE,3,3,4,4,4,4,4,4,,TRUE
302448,17-09-2021,Not specified,59,Leinster,Personal,FALSE,TRUE,1,1,1,2,4,3,3,5,4,FALSE
370168,01-10-2022,Male,23,Leinster,Business,TRUE,FALSE,2,2,3,3,1,2,3,3,3,TRUE
178555,10-03-2022,Female,61,Leinster,Business-Plus,FALSE,FALSE,2,2,3,3,2,3,2,2,1,FALSE
22333,20-05-2022,Male,44,,Business-Plus,TRUE,FALSE,3,3,3,4,4,2,2,2,3,FALSE
92982,25-10-2021,Female,63,Munster,Business,TRUE,FALSE,2,5,5,5,5,5,5,5,4,TRUE
251057,30-07-2022,Male,18,Ulster,Personal,TRUE,TRUE,3,3,3,1,2,4,3,,2,FALSE
185743,11-06-2022,f,33,Connacht,Business,TRUE,FALSE,1,4,4,5,5,3,,5,1,FALSE
341987,20-11-2021,Female,26,Connacht,Personal,TRUE,TRUE,2,2,2,3,4,3,2,4,4,FALSE
3677,23-04-2022,Not specified,28,Leinster,Personal,TRUE,FALSE,2,1,1,2,5,4,2,,2,FALSE
236892,27-06-2022,Male,,Munster,Business-Plus,TRUE,FALSE,5,2,4,5,5,3,3,4,5,TRUE
335146,05-07-2022,Female,52,Leinster,Business,TRUE,FALSE,1,1,5,4,5,5,5,5,3,TRUE
75287,14-09-2021,Male,,Connacht,Personal,TRUE,TRUE,1,2,2,1,4,3,3,3,4,FALSE
291854,27-06-2021,,36,,Business,TRUE,FALSE,2,3,3,5,5,,5,2,,TRUE
275786,12-02-2021,Male,52,Ulster,Business,TRUE,FALSE,2,4,3,4,1,5,5,,3,TRUE
314714,17-11-2022,f,48,Munster,Business,TRUE,FALSE,4,2,4,4,4,4,4,4,,TRUE
43835,02-04-2022,Male,47,Leinster,Personal,TRUE,FALSE,4,1,4,4,4,3,2,,4,TRUE
360126,30-09-2022,f,34,Connacht,Personal,TRUE,TRUE,3,1,1,2,3,5,3,2,3,FALSE
274624,10-04-2021,,,Leinster,Personal,FALSE,TRUE,4,4,1,3,5,5,5,1,1,TRUE
18151,22-03-2021,Female,41,Leinster,Business,TRUE,FALSE,1,3,4,5,1,1,5,4,2,TRUE
154554,05-05-2021,Female,51,Leinster,Business,TRUE,TRUE,1,2,3,2,3,3,3,,3,FALSE
376965,21-05-2021,Male,41,Leinster,Personal,TRUE,TRUE,2,2,4,2,3,1,4,,3,FALSE
12596,29-08-2021,Male,60,Leinster,Business-Plus,TRUE,FALSE,2,2,3,4,2,,2,2,2,FALSE
20835,24-01-2021,Female,60,Leinster,Business-Plus,TRUE,FALSE,1,5,1,1,1,3,1,3,,FALSE
248590,22-09-2022,Female,39,Munster,Business,TRUE,FALSE,3,4,3,3,3,4,1,,3,FALSE
1496,09-01-2021,Female,41,Leinster,Business,FALSE,FALSE,2,2,2,1,1,,1,1,1,FALSE
387645,18-04-2022,Male,40,Munster,Business,TRUE,FALSE,2,1,1,1,3,4,4,4,3,FALSE
32597,29-08-2022,Female,,Leinster,Personal,TRUE,FALSE,2,4,2,3,2,2,2,2,3,FALSE
6422,08-07-2022,,56,Munster,Personal,TRUE,FALSE,2,2,5,2,5,,5,5,4,TRUE
215734,25-07-2021,Female,63,Connacht,Personal,TRUE,TRUE,2,1,1,,1,5,5,,,TRUE
233258,20-05-2021,Male,23,Leinster,Personal,TRUE,TRUE,1,1,3,2,3,3,5,4,3,FALSE
332789,18-01-2022,m,59,Leinster,Personal,TRUE,TRUE,3,4,4,4,5,5,5,5,5,FALSE
17399,24-09-2022,Female,68,Connacht,Personal,FALSE,TRUE,3,3,3,2,2,3,1,4,2,FALSE
79013,06-02-2021,Male,48,Leinster,Business-Plus,TRUE,FALSE,1,1,1,,1,4,3,2,,FALSE
128096,15-06-2022,Female,51,Munster,Personal,TRUE,TRUE,3,3,5,3,4,4,4,4,,FALSE
315607,14-10-2021,Female,63,Munster,Personal,TRUE,TRUE,2,4,4,2,3,4,4,2,3,FALSE
327654,09-11-2022,Not specified,42,Ulster,Business,TRUE,FALSE,3,2,2,4,1,2,3,1,2,FALSE
50407,30-04-2021,Female,54,Munster,Personal,TRUE,FALSE,4,4,4,4,2,3,3,5,,TRUE
44896,24-09-2021,f,92,Leinster,Business,TRUE,FALSE,2,2,3,3,1,,2,2,3,FALSE
218931,02-06-2022,Male,24,Leinster,Personal,TRUE,FALSE,2,4,4,2,2,3,3,4,2,TRUE
80854,25-05-2022,Female,,Munster,Business,TRUE,FALSE,2,1,3,4,3,5,1,1,,FALSE
305914,24-11-2022,Male,34,Leinster,Personal,TRUE,FALSE,2,2,3,1,2,3,3,4,2,FALSE
6246,07-07-2021,Female,28,Ulster,Personal,TRUE,FALSE,2,2,2,5,5,4,5,2,5,FALSE
141616,19-03-2021,f,55,Connacht,Personal,TRUE,TRUE,1,1,1,2,3,1,3,3,3,FALSE
294421,21-10-2022,Male,33,Leinster,Personal,TRUE,TRUE,2,1,2,1,2,5,4,3,2,FALSE
45907,21-05-2021,m,57,Connacht,Personal,TRUE,FALSE,4,1,4,4,1,1,3,5,,TRUE
387923,21-05-2022,Male,63,Munster,Business,FALSE,FALSE,2,2,4,4,4,4,4,4,3,TRUE
26648,29-08-2021,Male,49,Ulster,Business,TRUE,FALSE,4,4,5,4,5,5,5,2,2,TRUE
112045,30-03-2021,Female,58,Munster,Personal,TRUE,TRUE,3,3,3,3,4,4,3,5,5,FALSE
126887,21-02-2022,Female,39,Connacht,Business,TRUE,FALSE,,4,4,4,4,,1,3,1,FALSE
110747,07-12-2021,Female,44,Connacht,Personal,TRUE,TRUE,2,1,2,4,5,3,2,4,5,FALSE
324622,05-12-2022,Male,42,,Business,TRUE,FALSE,4,4,4,3,3,,4,5,3,TRUE
271089,11-01-2021,Male,63,,Business,FALSE,FALSE,5,1,4,4,4,4,3,4,1,TRUE
47404,27-03-2022,,,Leinster,Business,FALSE,FALSE,4,4,3,5,5,5,3,,4,TRUE
40097,01-11-2021,Male,32,Leinster,Business,TRUE,FALSE,2,2,4,4,3,4,5,,3,TRUE
44908,25-08-2022,Female,35,Connacht,Business,TRUE,FALSE,3,3,3,3,,3,3,3,2,FALSE
375083,22-12-2022,Not specified,44,Munster,Personal,TRUE,TRUE,3,3,3,1,2,5,3,5,2,FALSE
222296,29-07-2022,Not specified,51,Connacht,Business,TRUE,FALSE,2,2,4,5,4,4,4,4,4,TRUE
25844,09-11-2022,Male,54,Leinster,Business,TRUE,FALSE,3,5,2,2,3,3,3,1,4,FALSE
274408,17-08-2022,Not specified,50,Connacht,Business,FALSE,FALSE,3,3,4,5,3,4,4,2,,TRUE
58485,26-05-2022,Not specified,52,Connacht,Business,TRUE,FALSE,4,3,2,2,4,4,3,4,3,FALSE
150989,02-02-2021,Female,63,Leinster,Business,FALSE,FALSE,1,4,5,4,1,3,5,5,5,TRUE
295493,07-12-2021,Male,26,,Personal,TRUE,FALSE,1,2,2,5,5,2,5,2,5,FALSE
311938,27-10-2022,Male,63,Leinster,Business,TRUE,TRUE,2,2,4,2,5,,4,5,5,FALSE
377501,07-02-2022,Not specified,33,Connacht,Business,TRUE,FALSE,1,2,4,4,4,2,,,4,TRUE
159235,21-10-2021,Male,42,Leinster,Business,TRUE,FALSE,2,4,3,3,3,2,2,2,4,FALSE
372614,20-09-2021,Female,45,Connacht,Business,TRUE,TRUE,4,5,5,4,5,1,3,,5,FALSE
112582,08-09-2022,Female,34,Munster,Business,TRUE,FALSE,5,3,3,4,3,3,1,5,3,TRUE
184725,19-02-2021,Male,78,,Personal,TRUE,TRUE,2,2,3,2,5,5,5,5,,FALSE
379905,13-04-2021,f,44,Leinster,Business-Plus,TRUE,FALSE,4,5,4,4,4,2,4,1,4,TRUE
68902,26-09-2021,Female,59,Munster,Personal,TRUE,FALSE,1,4,5,4,1,5,2,5,5,TRUE
148335,25-05-2021,Female,60,Leinster,Business,TRUE,FALSE,1,2,5,4,2,2,2,2,5,TRUE
70172,23-04-2022,Male,78,Leinster,Business,TRUE,FALSE,4,4,4,4,5,2,5,5,4,TRUE
229192,02-08-2021,Female,23,Munster,Personal,TRUE,FALSE,2,3,2,3,2,4,1,3,3,FALSE
122043,31-03-2021,Male,66,Leinster,Business,TRUE,FALSE,2,3,2,2,4,,5,3,2,TRUE
85963,24-07-2021,,,Munster,Personal,TRUE,FALSE,4,4,4,3,4,4,4,4,2,TRUE
60332,27-02-2022,Female,50,Leinster,Business,TRUE,FALSE,3,1,3,3,3,3,3,4,3,FALSE
136248,03-06-2022,Male,,Connacht,Personal,TRUE,TRUE,2,2,2,1,2,5,4,5,2,FALSE
209802,06-06-2021,m,46,,Business,TRUE,FALSE,4,1,4,1,4,4,4,4,3,TRUE
283637,09-10-2022,Male,,Munster,Personal,TRUE,TRUE,3,3,3,1,4,4,5,5,4,FALSE
266063,16-04-2022,Male,31,Ulster,Personal,TRUE,TRUE,2,2,2,1,5,4,5,5,5,FALSE
127829,15-03-2021,Male,77,Leinster,Personal,FALSE,FALSE,2,1,2,2,2,1,4,3,,FALSE
27867,03-07-2021,,,Ulster,Personal,TRUE,TRUE,3,3,3,2,1,4,4,4,1,FALSE
184235,07-01-2021,Male,57,Leinster,Business,TRUE,FALSE,4,4,4,3,5,5,2,5,4,TRUE
376459,01-03-2022,Female,60,Leinster,Business,TRUE,FALSE,3,4,2,3,2,2,4,4,4,TRUE
329777,09-12-2021,Not specified,36,Leinster,Business,TRUE,FALSE,2,3,5,5,5,5,5,5,4,TRUE
293005,30-03-2021,Male,63,Connacht,Personal,FALSE,FALSE,3,3,3,3,3,3,4,3,3,FALSE
373944,03-10-2022,Female,56,Munster,Personal,FALSE,TRUE,3,3,3,3,1,1,1,1,1,FALSE
125508,02-03-2022,Female,51,Connacht,Business,TRUE,FALSE,,2,1,3,2,2,2,2,2,FALSE
377266,01-03-2022,Female,44,Leinster,Personal,FALSE,FALSE,1,1,1,2,2,4,3,2,2,FALSE
112280,09-03-2022,Female,79,Munster,Personal,TRUE,FALSE,1,3,,1,1,1,3,3,1,FALSE
244103,26-02-2022,Female,,,Personal,TRUE,TRUE,4,3,4,4,2,,2,2,2,TRUE
123131,25-11-2021,Female,,Leinster,Business,FALSE,FALSE,3,3,3,1,2,5,4,5,1,FALSE
295874,27-06-2021,Female,,,Personal,TRUE,TRUE,3,4,1,3,1,4,3,4,1,FALSE
306350,19-04-2021,Male,35,Munster,Personal,TRUE,TRUE,3,2,2,1,2,4,2,,2,FALSE
99473,24-02-2021,Male,48,Ulster,Business,TRUE,FALSE,4,4,3,4,4,4,4,4,3,TRUE
265211,18-04-2021,Female,52,Munster,Business,TRUE,FALSE,4,4,4,1,2,2,,3,5,TRUE
128626,11-06-2022,Male,55,Leinster,Business,TRUE,FALSE,4,3,4,2,5,5,5,5,3,TRUE
120103,24-07-2022,Male,56,Leinster,Personal,TRUE,TRUE,3,2,3,4,5,2,2,1,5,FALSE
207807,10-09-2022,Female,29,Leinster,Personal,TRUE,FALSE,3,2,2,4,4,4,4,,,FALSE
255798,20-10-2022,Female,62,Leinster,Business,FALSE,FALSE,3,3,1,5,,4,4,4,1,TRUE
179169,07-04-2021,,21,Leinster,Personal,TRUE,TRUE,2,4,2,3,4,5,4,3,4,FALSE
